Tissue,Gene,Genotype,Expression
Colon,Nr4a1,WT,0.506928922
Colon,Nr4a1,WT,0.448769201
Colon,Nr4a1,WT,0.362379487
Colon,Nr4a1,WT,0.327798515
Colon,Nr4a1,WT,0.409309263
Colon,Nr4a1,WT,0.78864934
Colon,Nr4a1,KO,0
Colon,Nr4a1,KO,0
Colon,Nr4a1,KO,0
Colon,Nr4a1,KO,0
Colon,Nr4a1,KO,0
Colon,Nr4a1,KO,0
Liver,Nr4a1,WT,0.193383
Liver,Nr4a1,WT,0.157866
Liver,Nr4a1,WT,0.151467
Liver,Nr4a1,WT,0.069961
Liver,Nr4a1,WT,0.124396
Liver,Nr4a1,WT,0.288722
Liver,Nr4a1,KO,0
Liver,Nr4a1,KO,0
Liver,Nr4a1,KO,0
Liver,Nr4a1,KO,0.001906
Liver,Nr4a1,KO,0.00332
Liver,Nr4a1,KO,0
Colon,Nr4a2,WT,0.000316
Colon,Nr4a2,WT,0.000308
Colon,Nr4a2,WT,0.000269
Colon,Nr4a2,WT,0.000256
Colon,Nr4a2,WT,0.00024
Colon,Nr4a2,WT,0.000329
Colon,Nr4a2,KO,0.000253
Colon,Nr4a2,KO,0.000428
Colon,Nr4a2,KO,0.000383
Colon,Nr4a2,KO,0.000459
Colon,Nr4a2,KO,0.000248
Colon,Nr4a2,KO,0.000378
Liver,Nr4a2,WT,0.0001
Liver,Nr4a2,WT,0.000133
Liver,Nr4a2,WT,0.000126
Liver,Nr4a2,WT,0.0000878
Liver,Nr4a2,WT,0.000109
Liver,Nr4a2,WT,0.000121
Liver,Nr4a2,KO,0.000171
Liver,Nr4a2,KO,0.000118
Liver,Nr4a2,KO,0.000101
Liver,Nr4a2,KO,0.000118
Liver,Nr4a2,KO,0.000108
Liver,Nr4a2,KO,0.000107
